user_id,date,direction,internal,operator_id,is_missed_call,calls_count,call_duration,total_call_duration,tariff_plan,waiting_time,avg_wait_by_call
166377,2019-08-05,1,True,880022,1,3,0,5,2,5,1.6666666666666667
166377,2019-08-05,1,True,880020,1,1,0,1,2,1,1.0
166377,2019-08-05,1,True,880020,0,1,10,18,2,8,8.0
166377,2019-08-05,1,False,880022,1,3,0,25,2,25,8.333333333333334
166377,2019-08-05,1,False,880020,0,2,3,29,2,26,13.0
166377,2019-08-05,1,False,880020,1,8,0,50,2,50,6.25
166377,2019-08-06,1,False,881278,1,3,0,29,2,29,9.666666666666666
166377,2019-08-06,1,False,880020,1,5,0,70,2,70,14.0
166377,2019-08-06,1,True,881278,1,2,0,5,2,5,2.5
166377,2019-08-06,1,False,880020,0,5,800,819,2,19,3.8
166377,2019-08-07,1,False,880028,1,1,0,15,2,15,15.0
166377,2019-08-07,1,False,880026,0,1,21,28,2,7,7.0
166377,2019-08-07,1,False,880020,0,2,232,240,2,8,4.0
166377,2019-08-07,1,False,880026,1,1,0,17,2,17,17.0
166377,2019-08-08,1,False,880022,0,2,558,568,2,10,5.0
166377,2019-08-08,1,False,880022,1,4,0,28,2,28,7.0
166377,2019-08-09,1,False,880028,0,17,1603,1725,2,122,7.176470588235294
166377,2019-08-09,1,False,880028,1,2,0,2,2,2,1.0
166377,2019-08-09,1,False,880022,1,2,0,10,2,10,5.0
166377,2019-08-12,1,False,880028,0,20,2074,2191,2,117,5.85
166377,2019-08-12,1,True,880028,1,1,0,26,2,26,26.0
166377,2019-08-12,0,False,880028,0,1,407,411,2,4,4.0
166377,2019-08-13,1,True,880026,1,2,0,23,2,23,11.5
166377,2019-08-13,1,False,880026,0,4,258,287,2,29,7.25
166377,2019-08-13,1,True,880028,1,1,0,16,2,16,16.0
166377,2019-08-13,1,False,880028,0,10,647,788,2,141,14.1
166377,2019-08-13,0,False,880028,0,1,88,102,2,14,14.0
166377,2019-08-13,1,False,880028,1,1,0,60,2,60,60.0
166377,2019-08-14,1,False,880028,1,7,0,105,2,105,15.0
166377,2019-08-14,0,False,880026,0,2,197,218,2,21,10.5
166377,2019-08-14,0,False,880028,0,1,33,37,2,4,4.0
166377,2019-08-14,1,True,880026,1,2,0,0,2,0,0.0
166377,2019-08-14,1,False,880028,0,18,2686,2782,2,96,5.333333333333333
166377,2019-08-14,1,False,880026,1,7,0,38,2,38,5.428571428571429
166377,2019-08-14,1,False,880026,0,10,1567,1654,2,87,8.7
166377,2019-08-15,1,False,880026,0,11,1413,1473,2,60,5.454545454545454
166377,2019-08-15,1,False,880028,1,8,0,458,2,458,57.25
166377,2019-08-15,1,False,880028,0,19,2653,2779,2,126,6.631578947368421
166377,2019-08-15,0,False,880028,0,1,23,27,2,4,4.0
166377,2019-08-15,1,False,880026,1,15,0,330,2,330,22.0
166377,2019-08-16,1,False,880026,1,6,0,249,2,249,41.5
166377,2019-08-16,1,False,880026,0,15,1658,1714,2,56,3.7333333333333334
166377,2019-08-16,1,False,880028,1,4,0,29,2,29,7.25
166377,2019-08-16,1,False,880028,0,15,1574,1674,2,100,6.666666666666667
166377,2019-08-16,1,True,880026,1,3,0,2,2,2,0.6666666666666666
166377,2019-08-19,1,False,880026,1,13,0,142,2,142,10.923076923076923
166377,2019-08-19,1,False,880026,0,14,1519,1598,2,79,5.642857142857143
166377,2019-08-19,1,False,880028,1,5,0,170,2,170,34.0
166377,2019-08-19,0,False,880028,0,1,21,39,2,18,18.0
166377,2019-08-19,1,False,880028,0,8,904,1033,2,129,16.125
166377,2019-08-20,1,False,880028,0,32,2975,3243,2,268,8.375
166377,2019-08-20,1,False,880026,0,19,2568,2758,2,190,10.0
166377,2019-08-20,1,False,880028,1,13,0,572,2,572,44.0
166377,2019-08-20,0,False,880028,0,1,30,33,2,3,3.0
166377,2019-08-20,1,False,880026,1,9,0,53,2,53,5.888888888888889
166377,2019-08-21,1,False,880026,1,8,0,174,2,174,21.75
166377,2019-08-21,1,False,880028,1,22,0,717,2,717,32.59090909090909
166377,2019-08-21,1,False,880028,0,19,3496,3613,2,117,6.157894736842105
166377,2019-08-21,1,False,880026,0,23,2692,2844,2,152,6.608695652173913
166377,2019-08-22,1,False,880026,1,6,0,55,2,55,9.166666666666666
166377,2019-08-22,1,False,880026,0,23,2979,3062,2,83,3.608695652173913
166377,2019-08-22,1,False,880028,1,18,0,710,2,710,39.44444444444444
166377,2019-08-22,1,False,880028,0,15,1866,1992,2,126,8.4
166377,2019-08-22,0,False,880020,0,1,33,49,2,16,16.0
166377,2019-08-23,0,False,880026,0,1,45,52,2,7,7.0
166377,2019-08-23,1,False,880026,1,11,0,54,2,54,4.909090909090909
166377,2019-08-23,0,False,880028,0,1,41,54,2,13,13.0
166377,2019-08-23,1,False,880028,0,24,2242,2413,2,171,7.125
166377,2019-08-23,1,False,880026,0,43,3435,3654,2,219,5.093023255813954
166377,2019-08-23,1,False,880028,1,24,0,597,2,597,24.875
166377,2019-08-26,1,True,880022,1,3,0,0,2,0,0.0
166377,2019-08-26,0,False,880028,0,2,285,302,2,17,8.5
166377,2019-08-26,1,False,880026,0,28,3298,3395,2,97,3.4642857142857144
